"","stazione","GBEST","GBNORD","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","tot.precipitation.mm"
"194","Valle di Cadore","1756116","5145629",63.7,54.2,72.8,93.5,131.4,121.9,132.2,135.5,110.4,143.1,161.4,84.9,1305
"195","Valli del Pasubio","1672183","5069541",94.1,107.3,125.1,177.8,217.8,143.5,119.8,152.3,167.1,227.9,305.4,142.8,1980.9
"196","Valpore (Seren del Grappa)","1717711","5086478",143.3,150.8,155.5,195.5,282.1,179.2,151.8,165.9,189.9,277.2,343.1,177.5,2411.8
"197","Valstagna","1706448","5082227",92.1,92.4,107.5,145.1,184.2,132.8,126.7,145.2,136.5,184.6,244,134.8,1725.9
"198","Vangadizza (Legnago)","1679844","5003003",35.9,49.8,43.7,63.5,90.3,57.5,46.7,60.9,66.4,74.2,81.7,50.3,720.9
"199","Vazzola - Tezze","1759675","5078580",67.4,65.7,72.2,96.5,127.8,104.9,89.6,100,123.1,111.5,132.8,82.5,1174
"200","Venezia - Istituto Cavanis","1760369","5036126",46.8,57.2,65.9,62.4,82.3,60.4,62.6,62.4,99.1,74,85.1,55.9,814.1
"201","Verona - Parco Adige Nord","1652782","5036169",52.7,60.2,53.6,69.2,102.5,85.5,78.6,80.7,83.4,83.5,109.6,64.8,924.3
"202","Verona - Santa Caterina","1657890","5031195",50.2,50.5,43,48.3,132.8,71.2,83.1,58.4,93.1,100.1,57.7,67.9,856.3
"203","Vicenza - Sant'Agostino","1696854","5044313",85.6,102.8,95,86.5,131.9,67.7,78,76.8,93.7,118.3,143.4,90,1169.7
"204","Villadose","1730059","4995063",40.8,50.3,52.2,63.4,81.5,67.8,45.8,54.3,69.5,78.8,82.2,56.1,742.7
"205","Villafranca di Verona","1643529","5025977",46.7,46.3,45.8,72,89.5,73.1,67.1,72.6,87.9,83.9,93.2,65.1,843.2
"206","Villanova (Borca di Cadore)","1746302","5148320",51.1,42.4,60.4,79.6,124.8,114,128.7,133.5,106.6,123.9,137.4,68.6,1171
"207","Villorba","1751649","5071267",63.5,66,73.1,95.7,124,97.5,84.8,91.6,118,101.6,126.7,77.3,1119.8
"208","Vittorio Veneto","1756209","5097768",82.6,79.5,95.5,120.9,153.2,128.5,126.3,139.9,137.9,142.2,172.2,94.6,1473.3
"209","Volpago del Montello","1742010","5074899",68.5,65,76.3,106.6,139.9,119.7,89,102.3,119.8,109.6,139.1,85.7,1221.5
"210","Zero Branco","1747670","5053495",53.2,57.8,62.6,83.4,107,91.1,78.5,77.8,98.1,88.6,103.3,67.8,969.2
